Kebangsaan,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan (Kunjungan),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Gambia,5,9,8,5,4,10,12,19,20,16,20,7,135
Ghana,43,50,42,41,72,72,63,118,61,80,70,100,812
Guinea,6,2,0,2,4,2,7,8,9,1,9,2,52
Guinea Bissau,0,0,1,1,1,2,3,2,1,0,1,0,12
Guinea Equator,0,0,0,0,0,0,1,2,0,0,0,0,3
Ivory Coast (Pantai Gading),20,2,7,37,10,11,19,43,18,10,19,12,208
Kamerun,2,14,5,11,10,10,10,25,6,22,18,9,142
Kenya,97,125,131,184,197,196,275,337,245,304,359,348,2798
Lesotho,0,4,2,1,0,3,0,7,3,1,2,0,23
Liberia,1,4,2,0,2,1,0,7,1,1,1,0,20
Libya,75,84,43,32,93,61,98,143,175,166,134,142,1246
Malagasy (Madagascar),4,7,21,7,14,20,33,56,32,35,32,9,270
Malawi,2,2,11,6,8,25,10,4,11,9,19,9,116
Mali,7,8,6,2,12,5,13,17,24,11,60,6,171
Maroko,480,565,379,368,1025,686,1492,2232,1479,984,779,772,11241
Maseru,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,1,4,2,5,10,8,13,23,12,11,8,6,103
Mauritius,54,90,115,107,114,110,113,126,137,123,130,152,1371
Mozambik,25,11,13,8,44,43,40,35,33,45,35,91,423
Namibia,25,2,15,23,23,23,41,15,24,27,36,48,302
Niger,3,0,2,4,2,4,1,6,1,3,3,1,30
Nigeria,80,156,128,145,126,144,128,147,138,251,142,87,1672
Rwanda,2,5,16,11,15,24,11,30,24,17,17,14,186
Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,0,0,1,0,1,0,0,1,2,10,0,0,15
Senegal,6,30,19,18,27,21,13,45,19,25,83,14,320
Seychelles,17,2,15,19,25,14,12,10,23,17,7,34,195
Sierra Leona,7,8,15,7,4,9,12,7,11,4,5,7,96
Somalia,10,13,4,15,10,9,13,17,9,11,6,6,123
Sudan,188,177,85,46,69,79,109,153,131,135,180,111,1463
South Sudan,1,1,3,2,1,2,3,36,5,1,2,1,58
Swaziland,5,5,10,3,7,2,10,0,6,8,4,3,63
Tanzania,55,52,61,50,57,78,72,61,122,101,148,119,976
Togo,3,3,5,9,2,6,7,4,7,7,7,3,63
Tunisia,228,298,292,220,800,517,1163,1684,1383,820,558,600,8563
Uganda,23,17,28,15,21,45,43,26,54,28,43,37,380
Zaire,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,12,6,15,11,17,26,11,37,10,24,31,31,231
Zimbabwe,60,59,68,56,102,73,75,133,108,108,85,147,1074
Zomba,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AFRICA,3748,3669,4408,4449,5394,5964,7341,8400,7550,7162,5614,7953,71652
GRAND TOTAL,798469,749436,869244,865811,953714,1062791,1121189,1132638,1070245,978519,931227,1144542,11677825
